"ES_ID","Paper_ID","Group_ID","Journal_ID","Pub_year","rho","rho2","urbmax","urbmin","total_nests","variance","source","death_cause","partial_predation","Nest_type","Egg_number","Fake_eggs","Fake_proportion","Nest_position","Nest_height","Nest_openness","Study_days","Study_year","Median_year","Continent","Species","Species_latin","Zr","Zr2","VZr"
"ES055","P049","G036","FOLZOO",1995,-0.006257827,-0.006257827,3,1,160,0.006369427,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,-0.00625790868825294,-0.00625790868825294,0.00636942675159236
"ES056","P049","G036","FOLZOO",1995,0.08716273,0.08716273,3,1,44,0.024390244,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,0.0873844767009857,0.0873844767009857,0.024390243902439
"ES057","P049","G036","FOLZOO",1995,0.1196582,0.1196582,3,1,150,0.006802721,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,0.120234248994689,0.120234248994689,0.00680272108843537
"ES058","P049","G036","FOLZOO",1995,0.1264706,0.1264706,3,1,153,0.006666667,"figure","yes","pred","art",3,0,0,"elevated",1.75,"cup",NA,"1989-1992",1990.5,"eur",NA,NA,0.127151437144912,0.127151437144912,0.00666666666666667
"ES059","P049","G036","FOLZOO",1995,0.1584044,0.1584044,3,1,40,0.027027027,"figure","yes","pred","art",3,0,0,"elevated",4,"hole",NA,"1989-1992",1990.5,"eur",NA,NA,0.159749603066942,0.159749603066942,0.027027027027027
"ES060","P051","G037","ORNFEN",2003,0.2530699,0.2530699,3,2,344,0.002932551,"numbers","yes","alive","nat",6.3,0,0,"elevated",4.7,"cup",NA,"1999-2000",1999.5,"eur","Magpie","Pica_pica",0.258690066498064,0.258690066498064,0.00293255131964809
"ES061","P052","G038","BIRSTU",2015,0.3974698,0.3974698,5,2,98,0.010526316,"numbers","yes","alive","nat",1.8,0,0,"elevated",NA,"cup",83,"2006-2011",2008.5,"asi","Crested_goshawk","Accipiter_trivirgatus",0.420640403093959,0.420640403093959,0.0105263157894737
"ES062","P053","G020","FOECMA",2004,-0.4246656,-0.4246656,3,1,135,0.007575758,"percentage","yes","pred","art",3,2,0.666666667,"elevated",3,"cup",7,"1999-2000",1999.5,"aus",NA,NA,-0.453370480763163,-0.453370480763163,0.00757575757575758
"ES063","P053","G020","FOECMA",2004,-0.1580736,-0.1580736,3,1,90,0.011494253,"percentage","yes","pred","art",3,2,0.666666667,"ground",0,"cup",7,"2001-2002",2001.5,"aus",NA,NA,-0.159410307238099,-0.159410307238099,0.0114942528735632
"ES064","P053","G020","FOECMA",2004,-0.156957,-0.156957,3,1,90,0.011494253,"percentage","yes","pred","art",3,2,0.666666667,"elevated",3,"cup",7,"2001-2002",2000.5,"aus",NA,NA,-0.158265298208138,-0.158265298208138,0.0114942528735632
"ES065","P053","G020","FOECMA",2004,-0.1453505,-0.1453505,3,1,135,0.007575758,"percentage","yes","pred","art",3,2,0.666666667,"ground",0,"cup",7,"2000-2001",2000.5,"aus",NA,NA,-0.146387269657486,-0.146387269657486,0.00757575757575758
"ES066","P053","G020","FOECMA",2004,-0.1333071,-0.1333071,3,1,135,0.007575758,"percentage","yes","pred","art",3,2,0.666666667,"elevated",3,"cup",7,"2000-2001",2000.5,"aus",NA,NA,-0.134105285247647,-0.134105285247647,0.00757575757575758
"ES067","P053","G020","FOECMA",2004,-0.1132008,-0.1132008,3,1,135,0.007575758,"percentage","yes","pred","art",3,2,0.666666667,"ground",0,"cup",7,"1999-2000",1999.5,"aus",NA,NA,-0.113688086339325,-0.113688086339325,0.00757575757575758
"ES068","P054","G039","ORNSVE",2000,0.07782067,0.07782067,4,2,91,0.011363636,"percentage","no","alive","nat",NA,0,NA,"elevated",2,"cup",NA,"1990&1992",1991,"eur","Common_blackbird","Turdus_merula",0.0779783387711432,0.0779783387711432,0.0113636363636364
"ES069","P055","G020","WILRES",2002,-0.1185097,-0.1432248,3,1,400,0.002518892,"percentage","yes","pred","art",3,2,0.666666667,"elevated",1.25,"cup",6,"1998-1999",1998.5,"aus",NA,NA,-0.119069227707358,-0.14421637303449,0.00251889168765743
"ES070","P056","G040","JOUORN",2015,0.3645851,0.3645851,3,2,87,0.011904762,"numbers","yes","alive","nat",3.9,0,0,"ground",0,"cup",53,"2012-2013",2012.5,"eur","Northern_lapwing","Vanellus_vanellus",0.382163767007612,0.382163767007612,0.0119047619047619
"ES071","P059","G042","EMU",1995,0.2126271,0.2126271,4,1,658,0.001526718,"numbers","yes","alive","nat",3.6,0,0,"elevated",3.5,"cup",27,"1963-1987",1975,"aus","Common_blackbird","Turdus_merula",0.215921240605827,0.215921240605827,0.00152671755725191
